"pais","anio","inflacion","gdp","desempleo"
"Canada",2016,1.42875954701085,1.03855092490855,7.038
"Canada",2022,6.80280115341609,4.18903628100851,5.279
"Switzerland",2011,0.231349207650933,1.81310830459596,4.409
"Switzerland",2016,-0.434618664285838,2.06868969039562,4.918
"Switzerland",2022,2.8350279864446,3.04406102969423,4.122
"Channel Islands",2011,11.8041858089129,1.12504310895372,7.457
"Channel Islands",2016,2.70750189418476,1.21302407657195,7.715
"Channel Islands",2022,3.78619355893118,5.34196140375869,6.147
"Chile",2011,3.34121694259301,6.22389678509138,7.277
"Chile",2016,3.78619355893118,1.753038749071,6.673
"Chile",2022,11.643866711056,2.15399356192458,8.249
"China",2011,5.55389892257491,9.4613358870736,4.55
"China",2016,2.00000182191942,6.77555562837017,4.56
"China",2022,1.97357555739052,3.1341888719577,4.98
"Cote d'Ivoire",2016,0.723178457513241,7.17275963956332,1.896
"Cote d'Ivoire",2022,5.27616724262842,6.39988362720531,2.306
"Cameroon",2011,2.93969946305093,3.37921128506045,3.987
"Cameroon",2016,0.874190383288837,4.53579423678801,3.528
"Cameroon",2022,6.24767713343864,3.7367840056412,3.653
"Congo, Dem. Rep.",2011,8.13088669523601,6.8746708900163,4.315
"Congo, Dem. Rep.",2016,2.88585107290007,2.39939891133452,4.521
"Congo, Dem. Rep.",2022,10.4930409984424,8.92444785079518,4.522
"Congo, Rep.",2011,1.75958704273801,2.20591936286718,19.464
"Congo, Rep.",2022,3.04344334698473,1.47535613247133,20.108
"Colombia",2011,3.41503344776242,6.94789198173555,10.288
"Colombia",2016,7.51346024627682,2.08738250162794,8.922
"Colombia",2022,10.1772313546166,7.32827729427979,10.547
"Comoros",2011,1.84266300756185,5.8881526705417,4.207
"Comoros",2016,8.54686993188449,2.78022854212236,4.104
"Comoros",2022,0.642702771527302,2.81839506562636,3.816
"Cabo Verde",2011,4.47388342165028,3.92471821338283,10.948
"Cabo Verde",2016,-1.40781637091705,4.28071482662371,12.077
"Costa Rica",2011,4.877998309707,4.40315923970431,9.518
"Costa Rica",2016,-0.0174788505907852,4.20432325175899,8.085
"Costa Rica",2022,8.27477490232656,4.55149177958398,11.325
"Cuba",2011,5.12892376681615,2.80230083647626,3.18
"Cuba",2016,1.28495158809154,0.512843095700745,2
"Cuba",2022,8.83424868336489,1.77504879825767,1.82
"Curacao",2011,2.33253152562139,0.50845748203723,13.935
"Curacao",2016,-0.0472079848934594,-1.06770848655277,2.881
"Curacao",2022,8.08238798099103,7.92300000000002,9.96
"Cayman Islands",2011,1.32543575779668,1.16906219839106,3.44
"Cayman Islands",2016,-0.625258358618096,3.23997433895669,9.062
"Cayman Islands",2022,2.76940794144094,5.15632954248333,3.3
"Cyprus",2011,3.28944939564209,0.416711868408683,7.942
"Cyprus",2016,-1.42916666666665,6.57359080924678,13.006
"Cyprus",2022,8.39548297993332,7.20486780743879,6.806
"Czechia",2011,1.91721913635551,1.77238085338473,6.712
"Czechia",2016,0.683504209385646,2.58087013921376,3.952
"Czechia",2022,15.1001651468372,2.8471706583814,2.224
"Germany",2011,2.07517283735874,3.75796884487347,5.967
"Germany",2016,0.491747008445213,2.29471066413561,4.104
"Germany",2022,6.87257438551096,1.36973104612758,3.12
"Dominica",2011,1.13123136526474,0.0427388878891435,0.905
"Dominica",2016,0.14181622573231,1.44724556489263,2.881
"Dominica",2022,2.88490226829352,10.3968076616121,2.046
"Denmark",2011,2.75868226051242,1.3108037609606,7.769
"Denmark",2016,0.25000000000002,3.07304549209093,5.989
"Denmark",2022,7.69656699889264,1.54017307357893,4.434
"Dominican Republic",2011,5.79676809206531,3.19196227475523,6.087
"Dominican Republic",2016,1.6141660724522,6.71974078681295,7.284
"Dominican Republic",2022,8.81109209279586,5.23795652902595,5.504
"Algeria",2011,4.5242115050527,2.99999999941909,9.96
"Algeria",2016,6.39769480268751,3.90000000017621,10.202
"Algeria",2022,9.26551551551555,3.60000000094915,12.346
"Early-demographic dividend",2011,5.79676809206531,4.97826499867604,6.64163269370553
"Early-demographic dividend",2016,3.52317317628478,4.40390271762379,6.75915198816923
"Early-demographic dividend",2022,7.19861615609861,5.96019460339865,5.71415089065227
"Ecuador",2011,4.47453265795836,8.48147656332823,3.458
"Ecuador",2016,1.72826463324535,-0.687954245877947,4.597
"Ecuador",2022,3.46616972213076,5.86842354862311,3.761
"Egypt, Arab Rep.",2011,10.0649259874818,1.7645719489982,11.849
"Egypt, Arab Rep.",2016,13.813606214829,4.34664345555447,12.45
"Egypt, Arab Rep.",2022,13.8956609775178,6.58784560886967,7.344
"Eritrea",2011,7.22879272057924,8.67980010138049,5.614
"Eritrea",2016,-0.664767331433944,3.89168030784676,5.554
"Eritrea",2022,10.7737512242899,3.89168030784676,5.695
"Spain",2016,-0.20259800042646,2.91515598595787,19.635
"Spain",2022,8.39057634118634,6.17931219966114,12.917
"Estonia",2011,4.98190131453606,7.60697458913162,12.328
"Estonia",2016,0.148684907627365,3.09301920751959,6.882
"Ethiopia",2016,6.62813337230927,9.43348265784411,2.554
"Finland",2011,3.4168075425521,2.39039455396828,7.781
"Finland",2016,0.356684500891724,2.57193414898754,8.818
"Finland",2022,7.12350773301401,0.763041912763526,6.719
"Fiji",2011,7.27811782708494,2.70514302901049,4.406
"Fiji",2016,3.86322538221276,2.44565179664174,4.319
"France",2011,2.11159795174999,2.43757653729007,9.228
"France",2016,0.183334861123829,0.860031075424033,10.057
"France",2022,5.22236748369736,2.57084047567793,7.308
"Faroe Islands",2011,9.62147608489068,3.56636317884431,16.157
"Faroe Islands",2016,4.02790667392041,1.38644795938293,7.804
"Faroe Islands",2022,9.59751172872501,3.55602380418398,7.57824275611375
"Micronesia, Fed. Sts.",2011,5.08259403890364,3.18857475473928,2.853
"Micronesia, Fed. Sts.",2016,-1.03746806405333,0.484101802387045,2.695
"Micronesia, Fed. Sts.",2022,5.40874375479069,-2.90586580595669,3.9
"Gabon",2011,1.26331707837422,7.09175334258654,19.941
"Gabon",2016,2.10670712784051,2.09144220829562,20.134
